V1;V2;V3;V4;V5
D1;1017.1;1019.3;1017;1019.2
D2;2793.7;2793.8;2803.7;2805.8
D3;1091.3;1088.5;1085.7;1082.9
D4;1092;1078;1064;1050
D5;2938.63;2956.44;2964.41;2972.41
D6;153.7315;155.3886;154.7959;155.4378
D7;131.628;107.258;111.895;273.459
D8;1007.38;1003.23;1010.29;1007.4
D9;1006.71;1002.4;1009.45;1006.56
D10;2076.2;2073.4;2048.7;2048.9
D11;1114.8;1108.4;1109.3;1121.7
D12;1980.9;1896.1;1888;1812.3
D13;3166.9;3015.6;2978.6;2809.9
D14;1968.7;1965.1;1962.7;1967.9
D15;2464.8;2500.3;2470.9;2467.5
D16;14987.9;14920.9;14157.1;15627.7
D17;3262.5;3222.5;3202.4;3203.5
D18;11922.7;11981.1;11887.6;11293.2
D19;457.3;452.6;446.8;449.3
D20;11074.9;11563.8;11320.3;11323.3
D21;429.9;431.3;426.5;424.7
D22;1318.77;1307.45;1305.26;1314.36
D23;1185.65;1175.3;1172.97;1180.17
D24;1255.22;1244.45;1242.36;1251.03
D25;1047.52;1038.31;1035.69;1041.94
D26;1166.93;1156.84;1154.28;1162.2
D27;1128.51;1118.67;1116.45;1123.3
D28;1008.74;1007.77;1008.74;1002.91
D29;2073.1;2085.3;2087.5;2133.9
D30;1008.74;1007.77;1008.74;1002.91
D31;10000;9938.3;9691.4;9691.4
D32;10000;9938.3;9691.4;9691.4
D33;6733.117726;6736.048674;6741.453144;6799.712684
D34;750;750;750;750
D35;4374;4176;4176;4176
D36;6098.25;6098.25;6095;6094.25
D37;2931;2944;2938;2862
D38;3139;3157;3150;3077
D39;3128;3146;3138;3068
D40;3201;3259;3276;3318
D41;10922.2;10850.3;10892;11047.4
D42;5000;11111.5;10816;10864
D43;1005.8;999.9;1004.8;1000.1
D44;8623;8630;8595;8558
D45;997.8;994.6;997.2;1002
D46;9978;9946;9972;10020
D47;997.8;994.6;997.2;1002
D48;98.755;98.755;98.7325;98.7875
D49;99.715;99.7125;99.705;99.705
D50;99.7025;99.7;99.6925;99.6775
D51;979.5;980.3;984.9;989.2
D52;3768.3;3748.4;3756;3715.5
D53;979.5;980.3;984.9;989.2
D54;2291.3;2291.3;2285.9;2299.8
D55;4340;4340;4390;4360
D56;121.4;121;120.3;119.4
D57;1482.4;1479;1489;1476.6
D58;1686.7;1680;1691.4;1679.9
D59;4285;4240;4257.5;4305
D60;883.5;881.7;882.4;871.8
D61;6082.5;6060;6105;6030
D62;5095;5087.5;5035;5047.5
D63;4335;4315;4342.5;4295
D64;1320;1339.5;1331;1340.5
D65;5580;5580;5560;5630
D66;1809.5;1812.5;1830;1820
D67;4275;4245;4222.5;4100
D68;4555;4537.5;4592.5;4537.5
D69;250;250;250;250
D70;1451;1450;1446;1441
D71;2291.3;2291.3;2285.9;2299.8
D72;1700.1;1697;1707;1693.9
D73;979.5;980.3;984.9;989.2
D74;1748.7;1752.8;1743.3;1752.4
D75;1748.7;1752.8;1743.3;1752.4
D76;1592.2;1592.2;1596.7;1605.2
D77;1592.2;1592.2;1596.7;1605.2
D78;3925.2;3913.6;3902.1;3937.9
D79;9278;9305;9375;9412
D80;2291.3;2291.3;2285.9;2299.8
D81;1406.8;1406.8;1407.2;1415.2
D82;1019.6;1015.4;1018.5;1011.5
D83;2999.8;3053.5;3117.9;3168.1
D84;1748.7;1752.8;1743.3;1752.4
D85;10532.2;10492.2;10512.2;10482.2
D86;1661;1661;1661;1661
D87;1500;2067;2073;2048
D88;1500;2107;2113;2087
D89;1500;2002;2009;1989
D90;1500;2008;2015;1996
D91;1500;2007;2012;1989
D92;1500;2012;2021;2003
D93;1500;2133;2139;2111
D94;1500;2025;2034;2018
D95;1500;2013;2022;2006
D96;1500;1997;2002;1980
D97;1500;2013;2022;2006
D98;1367.7;1388.9;1393.9;1428
D99;8592.6;8600.9;8575.5;8534.2
D100;1610.23;1590.27;1604.53;1604.53
D101;5680;5706.7;5760.2;5744
D102;859.98;864.03;872.12;869.67
D103;5419.1;5306.9;5020.5;5065.5
D104;4913.4;4897.9;4869.6;4933
D105;5399.5;5418.9;5452;5465.4
D106;1216.14;1219.45;1214.66;1216.38
D107;1309.98;1313.55;1308.39;1310.25
D108;1013.01;1021.62;1026.2;1022.92
D109;1013.01;1021.62;1026.2;1021.77
D110;1013.01;1021.62;1026.2;1023.3
D111;6273.6;6193.6;6126.2;6133.4
D112;4155.9;4102.9;4058.2;4063
D113;4605.1;4546.3;4496.9;4502.2
D114;2802.9;2807.3;2743.9;2766.9
D115;2574.6;2578.7;2524.9;2546
D116;3623.4;3629;3528.6;3558.2
D117;1325.42;1427.25;1420.71;1388.03
D118;18640.6;18410.7;16447;16741.3
D119;18520.3;18291.9;16340.9;16633.3
D120;4069.3;4008.8;3826.1;3786.2
D121;5800.5;5714.3;5453.9;5396.9
D122;4446.1;4380;4180.4;4136.8
D123;7870.7;7878.2;7855;7817.2
D124;1112.18;1113.25;1109.97;1104.62
D125;1371.24;1375.89;1375.89;1375.85
D126;941.66;934.59;934.59;936.53
D127;6347.8;6446;6478.8;6522.7
D128;910;700;720;720
D129;9000;6700;6300;5800
D130;268.382;270.213;266.633;288.106
D131;800;800;800;800
D132;600;600;600;600
D133;1500;1500;2000;2000
D134;800;800;800;600
D135;1000;1000;1000;1000
D136;1000;1000;1000;1000
D137;700;700;700;700
D138;750;750;750;750
D139;1500;1500;1500;1500
D140;2000;2000;2000;2000
D141;1000.12;1008.65;1013.21;1014.38
D142;1000.12;1008.9;1013.86;1015.03
D143;1000.12;1008.88;1013.72;1014.89
D144;5406.9;5432.8;5465.8;5457.5
D145;4532.8;4506.7;4516.3;4534.4
D146;894.08;894.08;894.08;894.08
"2""";484.83;485.32;533.54;561.42
D147;528.35;527.54;557.35;547.71
".03""";923.99;903.45;889.77;951.36
D148;7037.1;6762.7;6351.9;6512.5
"9""";13379.9;13352.8;13336.5;13433.3
D149;4973.7;4777.7;4485.5;4599.2
;8713.4;8676.6;8758.2;8858.5
D150;1060.5;1065.3;1040.5;1036.1
D151;4441.466358;4463.04567;4359.086495;4340.876254
D152;1807.2;1833;1791.7;1836.4
".8""";9819.7;9869.8;9909.9;9914.9
D153;1028.4;1043.9;1023.4;1045.6
".6""";11418.3;11260.7;11297;11291
D154;10875.5;10951.4;10765.2;10576.7
"5243.8""";15192.6;15161.3;15036.7;14948.1
D155;2276.5;2266.6;2203.2;2327.6
;"9089.5""";8964.2;8891.7;8892.8
D156;3929.7;3739.2;3585.6;3666.5
"1""";17849.1;18185.9;18410.4;18253.3
D157;1511.9;1441;1381.7;1412.9
"868.2""";18946.5;19322.3;18789.9;18883.8
D158;1620.18;1583.57;1552.67;1587.37
"45""";649.79;651.03;659.4;659.75
D159;6663;6645.5;6699.7;6561.5
".7""";14275.6;14428.2;14608;14603.2
D160;1821.9;1821.9;1842.7;1853.2
;10324.9;10372.4;10344.2;10382.1
D161;1222.1;1222.1;1225.7;1225.7
"12825.5""";12828.6;12806.4;12863.2;12828.5
D162;561.7;603.5;558.9;541.3
"570.8""";13605.8;13677.9;13795.9;13994.8
D163;830.9;827.8;783.9;802
;12085.2;12080.4;12071.7;12085.2
D164;2064.5;2310.7;2505.2;2496.8
;"6242.9""";6390.6;6712.5;6625.5
D165;2449;2741.1;2971.8;2961.8
"5968.1""";5924.2;5897.8;5897.8;5888.9
D166;200;200;200;200
D167;200;200;200;200
D168;1266.25;1274.2188;1267.3438;1265
D169;1248.5938;1227.6562;1234.5312;1233.4375
D170;6725;6706.25;6740.62;6740.62
D171;6728.12;6706.25;6740.62;6740.62
D172;6725;6706.25;6740.62;6740.62
D173;6728.12;6706.25;6740.62;6740.62
D174;1046.56;1040.94;1040.31;1038.75
D175;1046.56;1040.94;1040.31;1038.75
D176;6634.38;6656.25;6662.5;6684.38
D177;6606.25;6637.5;6643.75;6665.62
D178;6615.62;6653.12;6653.12;6684.38
D179;8662.5;8600;8631.25;8640.62
D180;8693.75;8600;8646.88;8640.62
D181;8643.75;8600;8631.25;8621.88
D182;8690.62;8600;8646.88;8621.88
D183;6281.25;6309.38;6300;6293.75
D184;6281.25;6309.38;6300;6318.75
D185;6281.25;6309.38;6300;6293.75
D186;6281.25;6309.38;6300;6318.75
D187;7293.75;7265.62;7200;7096.88
D188;7265.62;7228.12;7162.5;7096.88
D189;7265.62;7259.38;7175;7096.88
D190;5828.12;5775;5784.38;5753.12
D191;5800;5775;5784.38;5753.12
D192;5800;5775;5784.38;5753.12
D193;1453.125;1452.5;1462.5;1459.6875
D194;1121.40625;1129.84375;1123.125;1137.65625
D195;1121.40625;1129.84375;1123.125;1137.65625
D196;1121.40625;1129.84375;1123.125;1137.65625
D197;6887.5;6856.25;6778.12;6715.62
D198;6887.5;6856.25;6778.12;6715.62
D199;6868.75;6790.62;6778.12;6637.5
D200;6868.75;6790.62;6778.12;6671.88
D201;7655;7628;7565;7642
D202;1174.0625;1150;1152.8125;1146.71875
D203;1154.21875;1150;1152.8125;1146.71875
D204;1154.21875;1150;1152.8125;1146.71875
D205;7250;7178.125;7215.625;7290.625
D206;7250;7209.375;7215.625;7312.5
D207;7200;7178.125;7215.625;7287.5
D208;6887.5;6990.62;7021.88;7000
D209;6918.75;6990.62;7021.88;7000
D210;6840.62;6990.62;7021.88;7000
D211;6918.75;6990.62;7021.88;7000
D212;1242.03125;1247.03125;1233.28125;1241.25
D213;1242.03125;1247.03125;1233.28125;1241.25
D214;1242.03125;1247.03125;1233.28125;1241.25
D215;1242.03125;1247.03125;1233.28125;1241.25
D216;7655;7628;7565;7642
D217;9146.88;9109.38;9090.62;9103.12
D218;9146.88;9109.38;9118.75;9103.12
D219;9115.62;9109.38;9087.5;9093.75
D220;9125;9109.38;9118.75;9100
D221;9096;9163;9248;9344
D222;1231.6406;1231.0938;1228.8281;1228.0469
D223;1180;1155.62;1164.69;1165.62
D224;1180;1155.62;1164.69;1165.62
D225;1180;1155.62;1164.69;1165.62
D226;1208.125;1219.375;1225.3125;1222.1875
D227;1208.125;1219.375;1225.3125;1222.1875
D228;1208.125;1219.375;1225.3125;1222.1875
D229;1208.125;1219.375;1225.3125;1222.1875
D230;1181.25;1177.1875;1173.75;1181.875
D231;1181.25;1177.1875;1173.75;1181.875
D232;1181.25;1177.1875;1173.75;1181.875
D233;1418.75;1450;1436.25;1417.1875
D234;1418.75;1450;1436.25;1417.1875
D235;1160;1138.75;1141.5625;1139.0625
D236;1160;1138.75;1141.5625;1139.0625
D237;1160;1138.75;1141.5625;1139.0625
D238;1160;1138.75;1141.5625;1139.0625
D239;1225.3125;1225;1235.625;1236.875
D240;1225.3125;1225;1235.625;1236.875
D241;1225.3125;1225;1235.625;1236.875
D242;1185.3125;1183.4375;1178.4375;1173.4375
D243;1185.3125;1183.4375;1178.4375;1173.4375
D244;1185.3125;1183.4375;1178.4375;1173.4375
D245;1185.3125;1183.4375;1178.4375;1173.4375
D246;1296.875;1303.4375;1303.4375;1293.4375
D247;1296.875;1303.4375;1303.4375;1293.4375
D248;881.1;856.65;843.75;851.55
D249;1359.53125;1362.65625;1357.34375;1364.21875
D250;1359.53125;1362.65625;1357.34375;1364.21875
D251;1359.53125;1362.65625;1357.34375;1364.21875
D252;1104.375;1102.65625;1111.09375;1109.53125
D253;1104.375;1102.65625;1111.09375;1109.53125
D254;1104.375;1102.65625;1111.09375;1109.53125
D255;1104.375;1102.65625;1111.09375;1109.53125
D256;1057.81;1060.31;1067.19;1065
D257;1072.5;1069.06;1062.5;1069.06
D258;1069.69;1069.06;1062.5;1069.06
D259;1069.69;1069.06;1062.5;1069.06
D260;1059.38;1055.62;1059.69;1056.56
D261;1059.38;1055.62;1059.69;1056.56
D262;1059.38;1055.62;1059.69;1056.56
D263;1024.69;1039.06;1031.25;1038.12
D264;1027.19;1039.06;1031.25;1038.12
D265;1027.19;1039.06;1031.25;1038.12
D266;1081.56;1083.12;1080;1089.38
D267;1083.12;1083.12;1080;1089.38
D268;1081.56;1083.12;1080;1089.38
D269;1083.12;1083.12;1080;1089.38
D270;1056.56;1055;1066.56;1063.75
D271;1056.56;1055;1066.56;1063.75
D272;1051.56;1055;1066.56;1063.75
D273;1051.56;1055;1066.56;1063.75
D274;971.25;973.438;975.938;977.812
D275;971.25;973.438;975.938;977.812
D276;971.25;973.438;975.938;977.812
D277;971.25;973.438;975.938;977.812
D278;991.875;996.25;1009.06;1006.56
D279;991.875;996.25;1009.06;1006.56
D280;996.25;996.25;1009.06;1006.56
D281;1090;1063.44;1070.94;1070.94
D282;1078.75;1063.44;1070.94;1070.94
D283;1078.75;1063.44;1070.94;1070.94
D284;976.875;985;987.5;991.562
D285;976.875;985;987.5;991.562
D286;1153.4375;1134.6875;1126.5625;1130
D287;1153.4375;1134.6875;1126.5625;1130
D288;1153.4375;1134.6875;1126.5625;1130
D289;1153.4375;1134.6875;1126.5625;1130
D290;8918.75;8918.75;8968.75;9025
D291;8918.75;8918.75;8968.75;9037.5
D292;8918.75;8918.75;8968.75;8993.75
D293;8918.75;8918.75;8968.75;9003.12
D294;8228.90625;8212.5;8211.71875;8316.40625
D295;7909.38;8012.5;8006.25;7971.88
D296;8015.62;8012.5;8006.25;7971.88
D297;7893.75;8012.5;8006.25;7971.88
D298;8015.62;8012.5;8006.25;7971.88
D299;9118.75;9171.88;9159.38;9031.25
D300;9118.75;9171.88;9159.38;9031.25
D301;9118.75;9171.88;9159.38;9031.25
D302;9375;9615.625;9696.875;9587.5
D303;6950;6878.12;6803.12;6790.62
D304;6903.12;6818.75;6803.12;6790.62
D305;6903.12;6850;6803.12;6790.62
D306;6325;6321.88;6368.75;6406.25
D307;6359.38;6321.88;6368.75;6406.25
D308;6312.5;6321.88;6368.75;6406.25
D309;6359.38;6321.88;6368.75;6406.25
D310;6721.88;6678.12;6700;6675
D311;6728.12;6678.12;6700;6675
D312;6675;6678.12;6687.5;6646.88
D313;6675;6678.12;6687.5;6675
D314;6490.62;6443.75;6409.38;6368.75
D315;6537.5;6443.75;6409.38;6368.75
D316;6490.62;6443.75;6409.38;6368.75
D317;6521.88;6443.75;6409.38;6368.75
D318;9131.25;9187.5;9312.5;9512.5
D319;9131.25;9187.5;9312.5;9512.5
D320;9131.25;9187.5;9312.5;9512.5
D321;9131.25;9187.5;9312.5;9512.5
D322;9396.88;9415.62;9262.5;9159.38
D323;9396.88;9415.62;9262.5;9159.38
D324;9396.88;9415.62;9262.5;9159.38
D325;9396.88;9415.62;9262.5;9159.38
D326;9100;9106.25;9143.75;9137.5
D327;9100;9112.5;9143.75;9137.5
D328;9100;9112.5;9143.75;9137.5
D329;9318.75;9318.75;9331.25;9328.12
D330;9318.75;9318.75;9325;9315.62
D331;9318.75;9318.75;9331.25;9315.62
D332;7500;7425;7518.75;7521.88
D333;7500;7512.5;7518.75;7521.88
D334;7415.62;7425;7518.75;7521.88
D335;7425;7503.12;7518.75;7521.88
D336;7503.12;7431.25;7525;7528.12
D337;7503.12;7518.75;7525;7528.12
D338;7421.88;7431.25;7525;7528.12
D339;7428.12;7509.38;7525;7528.12
D340;9512.5;9453.12;9484.38;9475
D341;9512.5;9471.88;9484.38;9475
D342;9512.5;9453.12;9481.25;9475
D343;9512.5;9471.88;9481.25;9475
D344;7562.5;7509.38;7521.88;7428.12
D345;7562.5;7509.38;7521.88;7428.12
D346;7562.5;7509.38;7521.88;7428.12
D347;7309.38;7303.12;7315.62;7393.75
D348;7309.38;7303.12;7396.88;7393.75
D349;7309.38;7303.12;7315.62;7393.75
D350;7309.38;7303.12;7396.88;7393.75
D351;6600;6610;6630;6650
D352;7125;7003.12;7028.12;7012.5
D353;7053.12;7003.12;7028.12;7012.5
D354;7053.12;7003.12;7028.12;7012.5
D355;6921.88;6993.75;6828.12;6803.12
D356;6928.12;6993.75;6828.12;6828.12
D357;6921.88;6853.12;6790.62;6793.75
D358;6921.88;6853.12;6803.12;6828.12
D359;6440.62;6428.12;6446.88;6600
D360;6440.62;6443.75;6550;6625
D361;6418.75;6428.12;6446.88;6578.12
D362;6437.5;6443.75;6550;6625
D363;6184.38;6156.25;6053.12;6015.62
D364;6115.62;6125;6021.88;5990.62
D365;6128.12;6156.25;6021.88;5990.62
D366;6809.38;6718.75;6815.62;6862.5
D367;6809.38;6790.62;6856.25;6875
D368;6756.25;6718.75;6815.62;6856.25
D369;6756.25;6750;6840.62;6862.5
D370;7275;7187.5;7218.75;7287.5
D371;7118.75;7318.75;7243.75;7078.12
D372;7231.25;7321.88;7243.75;7125
D373;7118.75;7268.75;7106.25;7068.75
D374;7228.12;7278.12;7109.38;7103.12
D375;8128.12;8190.62;8200;8181.25
D376;8215.62;8190.62;8212.5;8184.38
D377;8128.12;8150;8146.88;8043.75
D378;8209.38;8181.25;8184.38;8046.88
D379;9540.62;9540.62;9543.75;9562.5
D380;9540.62;9540.62;9543.75;9562.5
D381;8206.25;8218.75;8281.25;8290.62
D382;8200;8171.88;8150;8253.12
D383;8206.25;8181.25;8253.12;8256.25
D384;9090.62;9075;9040.62;9037.5
D385;9090.62;9075;9040.62;9037.5
D386;9081.25;9075;9040.62;9037.5
D387;9087.5;9075;9040.62;9037.5
D388;9550;9543.75;9556.25;9550
D389;9102;9162;9240;9344
D390;7655;7628;7565;7642
D391;2319;2266.5;2283;2242
D392;2319;2266.5;2283;2242
D393;7225;7206.25;7221.875;7303.125
D394;7171.875;7153.125;7200;7253.125
D395;7171.875;7196.875;7206.25;7303.125
D396;7631.25;7631.25;7840.62;7912.5
D397;7678.12;7646.88;7840.62;7931.25
D398;7587.5;7621.88;7840.62;7862.5
D399;7593.75;7640.62;7840.62;7890.62
D400;7103.12;7100;6978.12;7031.25
D401;7096.88;6987.5;6931.25;6956.25
D402;7103.12;6987.5;6940.62;7031.25
D403;1100;1105;1106.25;1105.62
D404;1070;1066.25;1070.31;1067.19
D405;1070;1066.25;1070.31;1067.19
D406;1070;1066.25;1070.31;1067.19
D407;1070;1066.25;1070.31;1067.19
D408;7843.75;7781.25;7771.875;7781.25
D409;9118.75;9103.12;9115.62;9134.38
D410;9109.38;9103.12;9115.62;9115.62
D411;9109.38;9103.12;9115.62;9125
D412;6528.12;6512.5;6425;6415.62
D413;6503.12;6468.75;6409.38;6387.5
D414;6525;6468.75;6409.38;6387.5
D415;9102;9162;9240;9344
D416;8668.75;8837.5;8796.88;8828.12
D417;8668.75;8837.5;8796.88;8828.12
D418;8668.75;8837.5;8796.88;8828.12
D419;1116.875;1108.75;1114.375;1105.625
D420;4310;4348;4323;4314
D421;1227.96875;1226.71875;1226.40625;1229.21875
D422;1023.75;1023.75;1022.1875;1020.3125
D423;5716.35;5659.94;5677.35;5638.48
D424;1227.5;1230.3125;1232.96875;1230.3125
D425;1503.125;1504.6875;1509.6875;1501.5625
D426;1163.125;1165;1148.4375;1156.875
D427;4582;4679;4682;4698
D428;200;1242.65625;1243.4375;1236.40625
D429;500;1624.6875;1630.9375;1606.875
D430;1146.875;1161.5625;1185.625;1189.6875
D431;1264.0625;1268.4375;1268.4375;1265.625
D432;1703.4375;1680.9375;1694.0625;1683.4375
D433;4250;4299;4257;4255
D434;1247.34375;1239.84375;1223.90625;1226.71875
D435;1540.3125;1515.3125;1502.8125;1515.9375
D436;1003.75;980;978.125;989.0625
D437;4169;4228;4197;4215
D438;1521.25;1543.75;1542.5;1553.125
D439;1559.375;1587.1875;1584.6875;1596.25
D440;1018.125;1009.375;1005.625;1018.75
D441;4276;4284;4229;4235
D442;1050;1058.4375;1050;1062.8125
D443;4834;4886;4855;4849
D444;5013;5029;5045;5027
D445;4842;4878;4923;4973
D446;3000;3100;3000;3100
